"pair","convergence","sigma_ide","sigma_pe_1","sigma_pe_2","sigma_res_1","sigma_res_c","sigma_res_2","sigma_ped_1","sigma_ped_c","sigma_ped_2","h2_1","h2_1_se","h2_2","h2_2_se","rg","rg_se","re","re_se","rp","rp_se","h2_1_check","h2_2_check","rg_check","re_check","rp_check","check_agree_rg","check_agree_rp"
"ch4muscle_ch4rmtmbw","UNKNOWN",1.58114e-05,1.58114e-05,25.1758,202.475,-195.211,7520.91,46947400000,8226660000,2.45364e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999995687194,0.999999969245343,0.076650034454665,-0.15819158830263,0.0766500312918698,NA,NA
"ch4muscle_ch4rmtmbwco2","CONVERGED",0,0,2.23229,0.0668633,0.731408,9.64147,0.0383764,0.295375,3.02158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364657063826674,0.202854046970395,0.867410290236604,0.91094923519472,0.820094045331709,NA,NA
"ch4muscle_ch4rumen","UNKNOWN",0,0,0.0644965,0.0453721,0.0609914,0.19843,0.0381948,0.0537892,0.128187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457056561868395,0.327748850397647,0.768724943303956,0.642792048516383,0.634892126610013,NA,NA
"ch4muscle_muscle","UNKNOWN",0,0,0.262168,0.0452553,-0.0185958,0.577928,0.0383099,-0.0595327,0.416234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458443227563627,0.331309448950515,-0.471445282326818,-0.114985552018926,-0.241126472405648,NA,NA
"ch4ratio_ch4adg","CONVERGED_PARAMS_UNSTABLE",5.0438e-11,5.0438e-11,2.01752e-13,1.76339e-05,-0.00403423,374867,1.20011e-06,0.163176,125827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0637201948008318,0.251305188398503,0.419912530527502,-0.00156909002854884,0.0518234128984726,NA,NA
"ch4ratio_ch4lw","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4ratio_ch4muscle","UNKNOWN",9e-09,9e-09,1.58114e-05,8.54074e-05,-5.2449e-05,0.00512692,1.31587e-05,0.000427925,0.0853389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133489085986218,0.943162702523951,0.403819834235799,-0.0792613000378356,0.125724048721739,NA,NA
"ch4ratio_ch4ratiomol","UNKNOWN",9e-09,9e-09,1.30434e-08,8.69626,-0.00194029,8.69626,8.32227e-07,-4.40694e-07,4.8573e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.56994063534296e-08,5.58550425287412e-08,-0.69313650657507,-0.000223117754068991,-0.00022316841314279,NA,NA
"ch4ratio_ch4rmtadg","CONVERGED",2.01752e-13,2.01752e-13,2.01752e-13,1.70209e-05,0.00258553,5.85935,2.29816e-06,0.00142102,2.28621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118958167529888,0.280669469011332,0.61994334130789,0.258900924238135,0.319386897336146,NA,NA
"ch4ratio_ch4rmtmbw","UNKNOWN",0,0,0.151055,1.00299e-05,-0.000642169,8.08836,0.55,-6.62426e-05,0.102938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999981764150734,0.0123392045385756,-0.000278399314942476,-0.0712969248994307,-0.000330716663615972,NA,NA
"ch4ratio_ch4rmtmbwco2","UNKNOWN",0,0,2.56623,1.96862e-05,0.007003,8.87265,8.32227e-07,0.000358564,0.654343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0405599805482165,0.0541082389698759,0.485895696800585,0.529878751989128,0.46733362470308,NA,NA
"ch4ratio_ch4rumen","CONVERGED",3.18998e-12,3.18998e-12,2.01752e-13,1.72303e-05,0.00121927,0.28755,1.96318e-06,0.000156486,0.13192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102283675170794,0.314492097170087,0.307496451006691,0.547768157653691,0.484857440076181,NA,NA
"ch4ratio_co2","CONVERGED_PARAMS_UNSTABLE",9.34092e-07,9.34092e-07,22674.2,1.80879e-05,-0.305158,34385.5,5.66608e-07,0.0546389,5594.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289253953830289,0.0892946066038459,0.970447832996846,-0.386939453385936,-0.226132693706989,NA,NA
"ch4ratio_co2_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtadg_adg","CONVERGED",0,0,0.00164387,6.14393,5.39843e-16,0.000132669,2.47814,0.0172229,0.00068727,0.2874,0.0255,0.2789,0.0558,0.4173,0.0746,0,0,0.1182,0.0201,0.287418218594839,0.278946135840887,0.417330059861873,1.89086105517673e-14,0.118167212017601,TRUE,TRUE
"ch4rmtadg_ch4lw","UNKNOWN",9.48683e-08,9.48683e-08,0.000518125,1.2219,-0.020991,0.00197888,182747000,-649777,2004640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999993313706,0.999999998754387,-0.0339485328833594,-0.426879762832874,-0.0339485338454261,NA,NA
"ch4rmtmbw_ch4lw","UNKNOWN",1.59226,1.59226,4.91537e-05,9.12584,0.137755,0.00233812,349807000,3477000,723408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999969359962,0.999999996699962,0.218574145449828,0.943056141321451,0.218574150400289,NA,NA
"ch4rmtmbw_ch4rmtadg","UNKNOWN",1.59226,1.59226,1e-06,8.63485,-1.0826,0.494384,253009000,76271800,61142100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99999995957808,0.999999991914164,0.613233448522172,-0.523972410979191,0.613233424944663,NA,NA
"ch4rmtmbw_ch4rmtmbwco2","UNKNOWN",1.59226,1.59226,2.56623,8.24499,7.53673,8.40455,320706000,134125000,914580000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999969326269,0.999999988004571,0.247653997437305,0.905379502353635,0.247654006069843,NA,NA
"ch4rmtmbw_mbw","CONVERGED",1.36307,1.36307,1.81899,9.96284,-2.37256e-13,0.958758,2.79,-0.705824,2.32569,0.1976,0.0193,0.4557,0.0261,-0.2771,0.0372,0,0,-0.0832,0.0112,0.197649319101638,0.455710444606165,-0.277088439696358,-7.67663913897345e-14,-0.0831592491921003,TRUE,TRUE
"ch4rmtmbw_mbw_cg_het","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbw_mbw_cg_het_scale","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbwco2_ch4lw","UNKNOWN",2.56623,2.56623,4.91537e-05,8.91776,0.119062,0.00237857,1135170000,12592700,1446050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999989883463,0.999999998321134,0.310811264096366,0.817499159759105,0.310811265201966,NA,NA
"ch4rmtmbwco2_ch4rmtadg","UNKNOWN",2.56623,2.56623,9.48683e-08,7.76283,3.60193,5.43868,50255300,15808700,90284000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999794468287,0.999999939760314,0.234692832778634,0.554342884565037,0.234692855064846,NA,NA
"ch4rmtmbwco2_co2","CONVERGED",0.988566,0.988566,8629.88,9.61726,-1.90995e-07,31424,4.88291,-294.046,30679.5,0.3153,0.0184,0.4337,0.0209,-0.7597,0.0259,0,0.0114,-0.2809,0.0104,0.315255550872583,0.433734398101717,-0.759716882473303,-3.47428616127462e-10,-0.280928035232623,TRUE,TRUE
